CODMUN;MUNICIPIO;PERIODO_2017;PERIODO_2016;PERIODO_2015;PERIODO_2014;PERIODO_2013;PERIODO_2012;PERIODO_2011;PERIODO_2010;PERIODO_2009;PERIODO_2008;PERIODO_2007;PERIODO_2006;PERIODO_2005;PERIODO_2004;PERIODO_2003;PERIODO_2002;PERIODO_2001;PERIODO_2000
35019;  San Bartolomé de Tirajana;53542;53829;54932;54377;56698;55954;54613;53288;52161;51260;49601;47922;46428;44155;45559;42403;40825;39939
35020;  Aldea de San Nicolás (La);7613;7741;7969;8225;8228;8633;8626;8623;8539;8403;8431;8409;8299;7988;8089;8063;8055;8070
35021;  Santa Brígida;18295;18437;18582;18775;18971;18907;18973;19135;19154;19042;18919;18760;18806;18599;18817;18729;18314;18153
35022;  Santa Lucía;70396;69178;69069;68544;68506;67291;66130;64845;63637;61325;58335;57211;56268;53820;52684;49902;47161;44974
35023;  Santa María de Guía;13924;13970;13890;13968;13811;14070;14306;14200;14069;14146;14081;14048;14086;14107;14255;14171;14174;14032
35025;  Tejeda;1950;1967;2001;1990;2028;2119;2201;2133;2164;2206;2239;2286;2341;2347;2351;2402;2444;2565
35026;  Telde;102005;102164;102078;102076;102170;101300;101375;100900;100015;99201;98399;97525;96547;94862;93942;91160;89493;88110
35027;  Teror;12424;12489;12499;12606;12761;12830;12932;12944;12926;12818;12290;12175;12189;12281;12104;12296;12144;11898
35031;  Valsequillo;9191;9227;9276;9233;9170;9157;9090;9099;9067;8987;8853;8583;8659;8498;8381;8311;8139;8049
35032;  Valleseco;3810;3861;3856;3886;3904;3903;3963;3935;3968;4022;4019;4050;4055;4082;4045;4030;4024;4006
35033;  Vega de San Mateo;7562;7628;7668;7698;7774;7765;7726;7699;7636;7586;7611;7661;7721;7617;7610;7575;7406;7424
38001;  Adeje;46833;47316;45405;46667;49387;46894;45134;43801;43204;41002;38245;36764;33722;30304;27640;25341;21862;14007
38004;  Arafo;5531;5458;5499;5464;5497;5507;5536;5543;5502;5346;5310;5257;5276;5256;5122;5156;5012;4802
38005;  Arico;7594;7423;7327;7670;7392;8090;7924;7891;7850;7698;7565;7104;7159;7005;6928;6653;6234;5644
38006;  Arona;78930;79172;79928;79890;80987;77718;75339;79377;78614;75903;72328;69100;65550;59395;57445;52572;43259;38416
38010;  Buenavista del Norte;4797;4832;4859;4884;4961;4916;5103;5151;5194;5227;5188;5225;5300;5301;5453;5413;5322;5140
38011;  Candelaria;27149;26746;26490;26543;26134;26290;25957;25140;24319;23394;22477;21415;20628;19197;17398;15980;13595;13294
38012;  Fasnia;2743;2783;2820;2846;2873;2963;3015;2777;2774;2805;2708;2697;2671;2704;2641;2590;2606;2554
